Region,Local_date,Time zone,DF,D,NG,TI,Sum (NG),NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,Sum (Trade),Sum (Imports),Sum (Exports),CAN,MEX,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,Positive Gen from COL,Positive Gen from NG,Positive Gen from OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
US48,02Aug2015,Eastern,"11,188,865","11,344,730","11,100,694","-127,719",,,,,,,,,,,"-161,607","162,345",738,"-161,685",78,,,,,,,,,,,,,,,,,,
US48,03Aug2015,Eastern,"12,127,386","12,239,951","11,951,328","-176,599",,,,,,,,,,,"-187,592","188,370",778,"-187,898",306,,,,,,,,,,,,,,,,,,
US48,04Aug2015,Eastern,"12,154,818","12,342,385","12,061,859","-150,652",,,,,,,,,,,"-187,282","189,665","2,383","-188,219",937,,,,,,,,,,,,,,,,,,
US48,05Aug2015,Eastern,"12,060,100","12,253,774","12,017,819","-138,393",,,,,,,,,,,"-168,803","173,744","4,941","-173,422","4,619",,,,,,,,,,,,,,,,,,
US48,06Aug2015,Eastern,"11,819,137","11,924,057","11,682,061","-132,216",,,,,,,,,,,"-159,196","160,828","1,632","-160,495","1,299",,,,,,,,,,,,,,,,,,
US48,07Aug2015,Eastern,"11,592,366","11,804,693","11,559,234","-142,327",,,,,,,,,,,"-158,841","160,589","1,748","-160,219","1,378",,,,,,,,,,,,,,,,,,
US48,08Aug2015,Eastern,"11,049,361","11,176,750","10,943,652","-146,816",,,,,,,,,,,"-162,036","163,377","1,341","-162,792",756,,,,,,,,,,,,,,,,,,
US48,09Aug2015,Eastern,"10,987,874","11,169,713","10,923,313","-156,321",,,,,,,,,,,"-163,800","165,472","1,672","-163,825",25,,,,,,,,,,,,,,,,,,
US48,10Aug2015,Eastern,"11,845,794","12,066,511","11,782,975","-171,958",,,,,,,,,,,"-162,455","164,878","2,423","-162,662",207,,,,,,,,,,,,,,,,,,
US48,11Aug2015,Eastern,"11,735,115","12,091,888","11,808,182","-170,374",,,,,,,,,,,"-154,311","156,906","2,595","-154,806",495,,,,,,,,,,,,,,,,,,
US48,12Aug2015,Eastern,"11,599,351","11,973,899","11,694,393","-162,029",,,,,,,,,,,"-161,056","163,910","2,854","-161,764",708,,,,,,,,,,,,,,,,,,
US48,13Aug2015,Eastern,"11,613,192","11,997,336","11,749,422","-158,265",,,,,,,,,,,"-150,737","155,847","5,110","-154,335","3,598",,,,,,,,,,,,,,,,,,
US48,14Aug2015,Eastern,"11,798,039","12,106,967","11,878,462","-145,822",,,,,,,,,,,"-156,616","162,403","5,787","-161,809","5,193",,,,,,,,,,,,,,,,,,
US48,15Aug2015,Eastern,"11,449,575","11,664,360","11,416,818","-166,743",,,,,,,,,,,"-171,264","173,632","2,368","-173,035","1,771",,,,,,,,,,,,,,,,,,
US48,16Aug2015,Eastern,"11,481,639","11,658,065","11,389,946","-186,125",,,,,,,,,,,"-166,884","168,191","1,307","-168,080","1,196",,,,,,,,,,,,,,,,,,
US48,17Aug2015,Eastern,"12,419,850","13,307,450","13,085,984","-180,182",,,,,,,,,,,"-162,002","164,053","2,051","-163,709","1,707",,,,,,,,,,,,,,,,,,
US48,18Aug2015,Eastern,"12,902,347","13,159,804","12,927,408","-222,441",,,,,,,,,,,"-160,767","163,738","2,971","-162,588","1,821",,,,,,,,,,,,,,,,,,
US48,19Aug2015,Eastern,"11,887,534","12,139,501","11,886,512","-143,965",,,,,,,,,,,"-165,332","167,099","1,767","-166,556","1,224",,,,,,,,,,,,,,,,,,
US48,20Aug2015,Eastern,"11,416,697","11,580,165","11,330,028","-168,798",,,,,,,,,,,"-164,223","166,614","2,391","-165,323","1,100",,,,,,,,,,,,,,,,,,
US48,21Aug2015,Eastern,"11,313,841","11,421,369","11,188,986","-170,468",,,,,,,,,,,"-162,863","164,548","1,685","-164,051","1,188",,,,,,,,,,,,,,,,,,
